Food_items,Breakfast,Lunch,Dinner,Snack,type,VegNonveg,Calories,Protein,Carbs,Fat,Fiber,Servings,Measurings,PreDiabetic,Diabetic
Murgh Chole,0,1,1,0,6,Veg,370,34.2,121.8,10.6,56.6,1,Plate,1,1
Dhaleem,0,1,1,0,6,Nonveg,235,11.9,20.4,11.8,3.9,1,Bowl(small),1,1
Chicken Nihari,0,1,1,0,6,Nonveg,148,22.5,4.8,4.4,1.2,1,Bowl(small),1,1
Mutton Nihari,0,1,1,0,6,Nonveg,185,12.5,6.1,12.5,1.5,1,Bowl(small),1,0
Chicken Pulao,0,1,1,0,6,Nonveg,155,6.6,19.2,5.7,0.7,1,Bowl(small),1,1
Mutton Palao,0,1,1,0,6,Nonveg,163,6.9,19.6,6.2,0.7,1,Bowl(small),1,0
Chicken Biryani,0,1,1,0,6,Nonveg,167,8,17.7,6.8,0.6,1,Bowl(small),1,1
Chicken Qorma,0,1,1,0,6,Nonveg,167,23.9,4.4,6,1.2,1,Bowl(small),1,1
Chicken Karahi,0,1,1,0,6,Nonveg,142,13.9,7.4,6.3,2.6,1,Bowl(small),1,1
Mutton Qorma,0,1,1,0,6,Nonveg,192,14,4.4,13.3,1.1,1,Bowl(small),1,0
Mutton Karahi,0,1,1,0,6,Nonveg,148,10.3,4.9,9.9,1.5,1,Bowl(small),1,0
Loki Gosht,0,1,1,0,6,Nonveg,160,9.3,4.7,11.6,2.2,1,Bowl(small),1,1
Chinese Fried Rice,0,1,1,0,1,Veg,343,9.3,4.7,11.6,2.2,1,Bowl(small),1,1
Chicken Shami Kabab,0,1,1,1,6,Nonveg,138,9.3,4.7,11.6,2.2,1,piece,1,1
Chicken Tikka,0,1,1,0,6,Nonveg,76,8.9,1,3.7,0.3,1,Piece,1,1
Chicken Seekh Kabab,0,1,1,0,6,Nonveg,109,7.4,2.2,8,0.5,1,Piece,1,1
Chicken Gola Kabab,0,1,1,0,6,Nonveg,35,3.3,0.6,2.2,0.1,1,Piece,1,1
